投資家部門別対外証券投資（短期債）,,,,,,,,,,,,,,,,,,,最終更新日  令和8年8月10日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchases and Sales of Foreign Securities by Residents by Types of Investors(Short-term debt securities),,,,,,,,,,,,,,,,,,,"Final Update  August 10, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：億円）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（Unit: 100 mil Yen）,
,,,各部門計,,,公的部門,,,,,,,,,預金取扱機関,,,,,,,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,中央銀行,,,一般政府,,,,,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,,,,その他金融機関,,,,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行等及び信託銀行（信託勘定）,,,,,,,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,,,
,,,（a+b+c+ｄ),,, Public Sector,,,,,,,,,Deposit-taking Corporations (b),,,,,,,,,Other Sectors （d),,,,,,,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,,,,,,,,,,,,,,,
,,,,,,,,,Central Bank (a),,,General Government (ｃ),,,,,,Banks（Banking Accounts),,,Trust Banks(Banking Accounts）,,,,,,Other Financial Corporations,,,Banks and Trust banks（Trust Accounts）,,,Banks（Trust Accounts）,,,Trust Banks（Trust Accounts）,,,Financial Instruments Firms,,,Life Insurance Companies,,,Non-Life Insurance Companies,,,Investment Trust Management Companies,,,Others,,
,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
2005,1月,Jan,"8,289","9,042",-753,0,0,0,-,-,-,-,-,-,"3,181","4,000",-819,"3,129","3,946",-817,52,55,-2,"5,108","5,041",67,"5,013","4,402",610,"1,586","1,615",-30,-,-,-,-,-,-,"1,313",286,"1,026",303,287,17,0,0,0,"1,811","2,214",-403,96,639,-543
,2月,Feb,"5,523","6,528","-1,005",0,0,0,-,-,-,-,-,-,881,"1,528",-647,519,"1,462",-942,361,67,295,"4,642","5,000",-358,"4,540","4,249",292,"2,083","1,987",96,-,-,-,-,-,-,839,151,688,306,401,-95,0,5,-5,"1,312","1,705",-392,101,752,-650
,3月,Mar,"6,985","8,129","-1,144",0,0,0,-,-,-,-,-,-,"1,378","2,288",-910,"1,225","2,210",-985,153,79,75,"5,607","5,841",-234,"5,488","4,246","1,242","2,143","1,597",546,-,-,-,-,-,-,"1,171",194,977,291,408,-117,0,0,0,"1,883","2,047",-164,119,"1,595","-1,476"
,4月,Apr,"7,643","7,320",322,0,0,0,-,-,-,-,-,-,983,"1,290",-307,952,767,185,31,523,-492,"6,660","6,031",629,"6,367","5,313","1,055","2,856","2,209",647,-,-,-,-,-,-,"1,223",295,928,186,215,-29,0,0,0,"2,102","2,594",-491,292,718,-425
,5月,May,"7,388","6,011","1,377",0,5,-5,-,-,-,-,-,-,"1,574",263,"1,311","1,543",210,"1,333",31,53,-22,"5,814","5,743",71,"5,698","5,112",586,"2,599","2,151",448,-,-,-,-,-,-,866,119,747,416,600,-184,0,9,-9,"1,817","2,233",-416,115,630,-515
,6月,Jun,"7,624","8,409",-785,0,35,-35,-,-,-,-,-,-,"1,738","1,986",-248,"1,472","1,719",-247,266,267,-1,"5,886","6,389",-502,"5,646","5,334",311,"2,317","2,481",-164,-,-,-,-,-,-,"1,033",147,886,358,395,-37,0,0,0,"1,938","2,311",-374,240,"1,054",-814
,7月,Jul,"7,668","7,773",-104,0,0,0,-,-,-,-,-,-,988,"1,214",-226,213,"1,161",-948,775,53,722,"6,680","6,558",122,"6,410","5,566",843,"2,494","2,712",-218,-,-,-,-,-,-,"1,247",71,"1,176",698,634,64,0,20,-20,"1,971","2,129",-159,270,992,-722
,8月,Aug,"7,235","7,963",-728,0,0,0,-,-,-,-,-,-,815,"1,217",-402,815,950,-135,0,267,-267,"6,420","6,746",-326,"6,236","5,857",379,"2,891","2,943",-52,-,-,-,-,-,-,951,169,781,488,521,-33,3,5,-2,"1,903","2,219",-315,183,889,-706
,9月,Sep,"6,702","9,138","-2,436",0,0,0,-,-,-,-,-,-,"1,177","1,385",-208,"1,177","1,231",-54,0,154,-154,"5,525","7,753","-2,228","5,402","6,291",-887,"1,813","2,801",-988,-,-,-,-,-,-,"1,022",72,951,350,376,-25,0,0,0,"2,217","3,042",-825,123,"1,463","-1,341"
,10月,Oct,"7,345","7,341",4,0,0,0,-,-,-,-,-,-,"2,047","1,937",110,"1,464","1,307",157,583,630,-47,"5,298","5,405",-107,"5,064","4,348",715,"2,050","2,185",-135,-,-,-,-,-,-,980,103,877,27,28,-1,0,0,0,"2,007","2,032",-26,234,"1,056",-822
,11月,Nov,"6,111","6,065",46,0,0,0,-,-,-,-,-,-,467,522,-55,467,471,-4,0,51,-51,"5,644","5,542",101,"5,532","4,468","1,064","2,599","2,202",396,-,-,-,-,-,-,"1,202",638,564,166,45,122,0,0,0,"1,565","1,583",-18,112,"1,074",-962
,12月,Dec,"6,048","7,584","-1,536",0,0,0,-,-,-,-,-,-,"1,311","1,752",-441,"1,311","1,752",-441,0,0,0,"4,738","5,833","-1,095","4,484","4,460",24,"1,926","2,394",-468,-,-,-,-,-,-,"1,037",385,652,23,44,-21,0,7,-7,"1,498","1,630",-132,254,"1,373","-1,120"
2006,1月,Jan,"7,871","7,540",331,0,0,0,-,-,-,-,-,-,"1,169","1,421",-252,561,796,-235,608,625,-18,"6,702","6,119",583,"6,595","4,972","1,623","3,098","2,241",857,-,-,-,-,-,-,"1,392",607,785,30,34,-4,0,15,-15,"2,075","2,075",0,107,"1,147","-1,040"
,2月,Feb,"7,338","6,764",575,0,0,0,-,-,-,-,-,-,"1,220","1,214",6,"1,220","1,184",36,0,30,-30,"6,119","5,550",569,"5,938","4,872","1,065","2,703","2,725",-22,-,-,-,-,-,-,"1,345",178,"1,167",51,30,21,0,10,-10,"1,839","1,929",-91,182,678,-496
,3月,Mar,"8,434","9,170",-736,0,0,0,-,-,-,-,-,-,"1,131","1,373",-243,"1,119","1,343",-224,12,30,-18,"7,304","7,797",-493,"7,278","6,143","1,136","3,642","2,954",689,-,-,-,-,-,-,"1,396",539,857,115,111,5,0,0,0,"2,125","2,539",-415,26,"1,654","-1,628"
,4月,Apr,"7,593","9,696","-2,103",0,0,0,-,-,-,-,-,-,"1,400","1,727",-328,770,"1,090",-320,630,637,-7,"6,194","7,969","-1,776","6,161","7,168","-1,009","3,334","3,972",-639,-,-,-,-,-,-,815,993,-179,55,253,-198,0,0,0,"1,957","1,950",7,34,801,-767
,5月,May,"6,851","7,572",-721,0,0,0,-,-,-,-,-,-,"1,143",805,338,"1,143",805,338,0,0,0,"5,708","6,768","-1,059","5,570","5,676",-104,"2,165","2,603",-437,-,-,-,-,-,-,567,105,462,257,346,-88,0,0,0,"2,581","2,622",-41,138,"1,093",-955
,6月,Jun,"7,529","9,434","-1,905",0,0,0,-,-,-,-,-,-,196,638,-442,196,638,-442,0,0,0,"7,333","8,795","-1,463","7,312","7,768",-455,"3,327","3,609",-282,-,-,-,-,-,-,662,115,547,234,258,-24,0,0,0,"3,089","3,786",-696,21,"1,028","-1,007"
,7月,Jul,"9,620","7,508","2,112",0,0,0,-,-,-,-,-,-,"1,574",763,811,988,158,830,586,605,-19,"8,046","6,745","1,301","7,974","5,922","2,051","4,128","2,630","1,497",-,-,-,-,-,-,677,90,587,190,225,-34,0,0,0,"2,979","2,977",1,72,823,-751
,8月,Aug,"8,025","8,764",-739,0,0,0,-,-,-,-,-,-,579,597,-17,579,597,-17,0,0,0,"7,446","8,167",-722,"7,411","7,645",-235,"3,744","3,856",-112,-,-,-,-,-,-,298,85,212,0,196,-196,0,0,0,"3,369","3,508",-139,35,523,-487
,9月,Sep,"7,843","8,013",-170,0,0,0,-,-,-,-,-,-,198,77,121,198,77,121,0,0,0,"7,645","7,936",-291,"7,539","6,942",596,"4,398","4,045",353,-,-,-,-,-,-,587,80,507,309,0,309,0,0,0,"2,245","2,817",-573,106,993,-887
,10月,Oct,"8,091","8,981",-891,0,0,0,-,-,-,-,-,-,"1,329","1,651",-322,951,"1,036",-85,378,615,-237,"6,762","7,331",-569,"6,626","6,515",111,"2,869","2,619",250,-,-,-,-,-,-,343,102,241,460,802,-342,0,0,0,"2,954","2,992",-38,136,816,-680
,11月,Nov,"7,056","8,339","-1,284",0,0,0,-,-,-,-,-,-,445,755,-310,445,755,-310,0,0,0,"6,611","7,585",-974,"6,499","7,085",-586,"3,202","4,447","-1,245",-,-,-,-,-,-,"1,015",53,962,365,364,1,0,0,0,"1,917","2,221",-304,112,499,-387
,12月,Dec,"7,985","10,070","-2,085",0,0,0,-,-,-,-,-,-,277,686,-409,277,666,-389,0,20,-20,"7,708","9,384","-1,675","7,687","8,466",-778,"4,972","5,559",-586,-,-,-,-,-,-,369,181,187,286,262,25,0,0,0,"2,060","2,464",-404,21,918,-898
2007,1月,Jan,"6,471","6,583",-112,0,0,0,-,-,-,-,-,-,"1,319","1,304",15,938,918,20,382,386,-5,"5,152","5,279",-127,"5,111","4,308",804,"2,045","1,828",217,-,-,-,-,-,-,462,74,388,644,306,338,0,0,0,"1,960","2,100",-139,40,972,-931
,2月,Feb,"5,489","5,935",-445,0,0,0,-,-,-,-,-,-,154,256,-102,154,255,-101,0,1,-1,"5,335","5,678",-343,"5,323","4,849",474,"1,857","1,821",35,-,-,-,-,-,-,319,91,228,406,253,154,0,10,-10,"2,741","2,674",67,12,829,-817
,3月,Mar,"10,510","9,329","1,181",0,0,0,-,-,-,-,-,-,"3,376","1,192","2,184","3,376","1,162","2,214",0,30,-30,"7,134","8,136","-1,002","6,664","6,933",-270,"3,447","4,156",-709,-,-,-,-,-,-,509,178,330,"1,022",960,62,0,0,0,"1,686","1,639",47,470,"1,203",-733
,4月,Apr,"9,336","11,255","-1,919",0,0,0,-,-,-,-,-,-,462,"1,497","-1,035",71,"1,101","-1,030",391,396,-5,"8,874","9,757",-884,"8,346","8,765",-419,"4,631","5,194",-563,-,-,-,-,-,-,794,208,586,"1,096","1,062",34,0,0,0,"1,825","2,301",-476,527,993,-466
,5月,May,"8,482","9,680","-1,198",0,0,0,-,-,-,-,-,-,632,"1,538",-905,632,"1,538",-905,0,0,0,"7,850","8,142",-292,"7,410","6,515",895,"3,161","2,332",829,-,-,-,-,-,-,473,56,417,"1,612","1,707",-95,0,0,0,"2,164","2,420",-256,440,"1,627","-1,187"
