投資家部門別対外証券投資（株式・投資ファンド持分）,,,,,,,,,,,,,,,,,,最終更新日  令和8年8月10日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchases and Sales of Foreign Securities by Residents by Types of Investors(Equity and investment fund shares),,,,,,,,,,,,,,,,,,"Final Update  August 10, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：億円）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（Unit: 100 mil Yen）,
,,,各部門計,,,公的部門,,,,,,,,,預金取扱機関,,,,,,,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,中央銀行,,,一般政府,,,,,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,,,,その他金融機関,,,,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行等及び信託銀行（信託勘定）,,,,,,,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,,,
,,,（a+b+c+ｄ),,, Public Sector,,,,,,,,,Deposit-taking Corporations (b),,,,,,,,,Other Sectors （d),,,,,,,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,,,,,,,,,,,,,,,
,,,,,,,,,Central Bank (a),,,General Government (ｃ),,,,,,Banks（Banking Accounts),,,Trust Banks(Banking Accounts）,,,,,,Other Financial Corporations,,,Banks and Trust banks（Trust Accounts）,,,Banks（Trust Accounts）,,,Trust Banks（Trust Accounts）,,,Financial Instruments Firms,,,Life Insurance Companies,,,Non-Life Insurance Companies,,,Investment Trust Management Companies,,,Others,,
,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
2005,1月,Jan,"9,934","8,428","1,506",0,0,0,-,-,-,-,-,-,180,50,129,165,44,121,15,6,9,"9,755","8,378","1,377","9,673","8,269","1,404","7,038","6,178",860,-,-,-,-,-,-,282,622,-340,582,588,-6,14,30,-16,"1,757",851,906,81,109,-28
,2月,Feb,"12,092","12,401",-308,0,0,0,-,-,-,-,-,-,316,70,246,258,35,223,58,35,23,"11,776","12,331",-555,"11,644","12,186",-542,"8,932","10,155","-1,223",-,-,-,-,-,-,600,401,199,585,636,-50,10,19,-10,"1,517",975,542,132,145,-13
,3月,Mar,"12,483","11,896",587,0,0,0,-,-,-,-,-,-,364,150,213,278,129,149,86,22,64,"12,119","11,746",373,"11,992","11,588",405,"9,143","9,508",-365,-,-,-,-,-,-,318,441,-123,370,663,-293,30,46,-16,"2,131",930,"1,202",127,158,-31
,4月,Apr,"13,464","11,478","1,986",0,0,0,-,-,-,-,-,-,158,227,-69,91,189,-98,67,38,30,"13,306","11,251","2,055","13,174","11,096","2,076","10,483","8,631","1,852",-,-,-,-,-,-,408,789,-382,744,684,60,3,16,-14,"1,536",976,560,132,154,-22
,5月,May,"14,459","11,922","2,537",0,0,0,-,-,-,-,-,-,125,58,66,55,34,21,70,25,45,"14,335","11,864","2,471","14,229","11,730","2,498","11,336","9,608","1,727",-,-,-,-,-,-,797,614,183,760,596,164,16,13,3,"1,320",899,421,107,134,-27
,6月,Jun,"12,011","12,314",-303,0,0,0,-,-,-,-,-,-,345,112,233,211,103,108,134,9,125,"11,666","12,202",-535,"11,309","11,890",-581,"7,514","8,965","-1,451",-,-,-,-,-,-,"1,116",585,531,504,829,-325,23,21,2,"2,152","1,490",662,357,312,45
,7月,Jul,"13,364","14,240",-877,0,0,0,-,-,-,-,-,-,147,96,51,139,77,62,8,19,-11,"13,216","14,144",-928,"13,119","13,745",-625,"8,593","10,615","-2,021",-,-,-,-,-,-,"1,449",666,782,634,708,-74,55,10,45,"2,388","1,746",643,97,400,-302
,8月,Aug,"13,629","12,764",865,0,0,0,-,-,-,-,-,-,249,85,165,126,82,44,123,3,120,"13,380","12,679",701,"13,261","12,465",796,"8,052","9,846","-1,794",-,-,-,-,-,-,"1,249",416,833,965,739,226,23,7,16,"2,972","1,457","1,515",119,215,-96
,9月,Sep,"13,004","10,907","2,097",0,0,0,-,-,-,-,-,-,367,413,-46,331,126,204,37,287,-250,"12,637","10,494","2,143","12,478","10,271","2,210","8,856","8,195",662,-,-,-,-,-,-,555,457,98,"1,122",441,682,10,23,-12,"1,935","1,155",780,158,224,-66
,10月,Oct,"14,681","11,333","3,348",0,0,0,-,-,-,-,-,-,278,85,194,240,82,158,38,3,35,"14,403","11,248","3,155","14,194","11,100","3,098","10,311","8,901","1,411",-,-,-,-,-,-,677,384,294,"1,167",496,671,1,14,-12,"2,038","1,305",734,207,149,58
,11月,Nov,"16,971","14,957","2,015",0,0,0,-,-,-,-,-,-,442,81,361,323,76,247,119,5,114,"16,530","14,876","1,654","15,712","14,455","1,257","10,433","10,380",53,-,-,-,-,-,-,"1,237",940,297,956,763,193,0,150,-150,"3,086","2,222",864,818,421,397
,12月,Dec,"11,713","10,231","1,483",0,0,0,-,-,-,-,-,-,275,93,182,263,87,176,12,5,6,"11,439","10,138","1,301","11,132","9,797","1,334","6,042","6,532",-491,-,-,-,-,-,-,533,530,3,994,687,307,5,0,5,"3,558","2,048","1,510",308,341,-34
2006,1月,Jan,"14,062","13,253",809,0,0,0,-,-,-,-,-,-,258,75,183,191,61,130,67,14,53,"13,805","13,178",626,"13,380","12,736",643,"8,962","10,099","-1,137",-,-,-,-,-,-,591,510,81,736,488,248,22,12,9,"3,069","1,627","1,442",426,442,-16
,2月,Feb,"13,456","13,411",45,0,0,0,-,-,-,-,-,-,313,368,-55,263,78,185,50,290,-240,"13,143","13,043",99,"12,500","12,718",-217,"8,028","9,754","-1,726",-,-,-,-,-,-,516,583,-67,572,587,-14,22,18,4,"3,362","1,776","1,586",640,325,315
,3月,Mar,"17,867","17,690",177,0,0,0,-,-,-,-,-,-,391,388,3,322,374,-52,68,14,54,"17,476","17,302",174,"17,385","16,987",401,"11,909","13,140","-1,231",-,-,-,-,-,-,683,951,-268,861,799,63,2,19,-16,"3,930","2,078","1,853",90,315,-226
,4月,Apr,"16,762","12,629","4,133",0,0,0,-,-,-,-,-,-,885,101,783,666,83,582,219,18,201,"15,878","12,528","3,350","15,687","12,151","3,536","10,227","9,020","1,207",-,-,-,-,-,-,494,501,-7,849,480,369,5,4,1,"4,112","2,146","1,966",190,376,-186
,5月,May,"17,561","14,383","3,178",0,0,0,-,-,-,-,-,-,189,199,-10,140,83,57,49,116,-67,"17,372","14,184","3,188","17,253","14,012","3,241","12,211","10,912","1,299",-,-,-,-,-,-,642,256,385,"1,346",944,403,2,0,2,"3,052","1,900","1,152",118,172,-53
,6月,Jun,"12,683","12,129",554,0,0,0,-,-,-,-,-,-,335,211,124,322,199,123,13,11,1,"12,348","11,918",430,"12,255","11,786",468,"8,390","8,793",-403,-,-,-,-,-,-,467,332,135,876,"1,040",-164,0,0,0,"2,522","1,621",900,94,132,-39
,7月,Jul,"10,290","10,195",95,0,0,0,-,-,-,-,-,-,297,212,84,278,151,127,19,61,-43,"9,993","9,983",11,"9,931","9,836",95,"6,581","6,869",-288,-,-,-,-,-,-,283,218,66,752,831,-80,0,0,0,"2,315","1,918",397,62,147,-84
,8月,Aug,"13,190","10,910","2,280",0,0,0,-,-,-,-,-,-,304,248,56,175,192,-17,129,56,73,"12,886","10,663","2,223","12,805","10,535","2,269","7,931","7,850",81,-,-,-,-,-,-,362,302,60,959,696,263,1,4,-3,"3,552","1,683","1,868",80,127,-46
,9月,Sep,"12,025","11,757",268,0,0,0,-,-,-,-,-,-,286,365,-78,273,257,16,14,108,-94,"11,738","11,392",346,"11,666","11,264",402,"6,845","7,656",-811,-,-,-,-,-,-,456,340,116,862,899,-37,0,0,0,"3,503","2,369","1,134",72,128,-55
,10月,Oct,"15,443","15,538",-95,0,0,0,-,-,-,-,-,-,228,105,122,208,67,142,19,39,-19,"15,215","15,432",-217,"14,856","15,191",-335,"8,269","10,273","-2,004",-,-,-,-,-,-,804,483,321,743,686,57,100,0,100,"4,940","3,749","1,191",358,241,118
,11月,Nov,"20,326","18,497","1,829",0,0,0,-,-,-,-,-,-,995,194,801,936,189,747,58,5,53,"19,332","18,303","1,028","18,679","17,798",879,"10,114","12,481","-2,367",-,-,-,-,-,-,"1,030",910,119,854,811,43,0,0,0,"6,681","3,596","3,084",653,504,149
,12月,Dec,"15,754","13,994","1,760",0,0,0,-,-,-,-,-,-,469,214,255,456,193,263,13,21,-8,"15,285","13,780","1,505","14,834","13,473","1,363","6,680","7,902","-1,221",-,-,-,-,-,-,470,656,-185,750,962,-213,0,2,-2,"6,934","3,951","2,984",450,308,142
2007,1月,Jan,"17,460","21,582","-4,122",0,0,0,-,-,-,-,-,-,195,221,-26,160,208,-48,34,13,21,"17,266","21,361","-4,095","17,018","21,050","-4,030","7,324","14,294","-6,969",-,-,-,-,-,-,549,694,-144,"1,539","2,161",-622,0,2,-2,"7,606","3,899","3,707",247,311,-64
,2月,Feb,"20,956","16,990","3,967",0,0,0,-,-,-,-,-,-,441,315,127,432,201,230,9,113,-104,"20,515","16,675","3,840","20,312","16,437","3,874","8,032","10,786","-2,755",-,-,-,-,-,-,400,487,-87,721,675,46,0,0,0,"11,159","4,489","6,670",204,238,-34
,3月,Mar,"20,925","18,106","2,818",0,0,0,-,-,-,-,-,-,484,278,206,468,228,240,16,50,-34,"20,441","17,828","2,613","20,261","17,615","2,647","9,411","12,181","-2,770",-,-,-,-,-,-,279,349,-70,"1,238","1,059",179,0,0,0,"9,333","4,026","5,308",179,214,-35
,4月,Apr,"19,067","18,956",111,0,0,0,-,-,-,-,-,-,631,159,473,549,156,393,82,3,79,"18,435","18,797",-362,"17,984","18,509",-526,"8,290","12,423","-4,133",-,-,-,-,-,-,677,548,129,995,"1,201",-206,0,0,0,"8,022","4,337","3,684",452,288,164
,5月,May,"22,756","20,396","2,360",0,0,0,-,-,-,-,-,-,671,117,554,616,110,507,55,7,47,"22,085","20,279","1,806","21,773","19,770","2,004","11,395","13,569","-2,174",-,-,-,-,-,-,533,717,-183,"1,049","1,488",-439,0,1,-1,"8,796","3,995","4,801",312,510,-198
,6月,Jun,"24,426","25,306",-880,0,0,0,-,-,-,-,-,-,636,476,161,618,434,183,18,41,-23,"23,790","24,830","-1,040","23,550","24,385",-836,"10,910","16,307","-5,397",-,-,-,-,-,-,746,758,-13,"1,982","1,945",37,0,0,0,"9,912","5,375","4,537",240,445,-205
