ëŒäOèÿåîìäéëÅyãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,,,,ëŒì‡èÿåîìäéëÅyîÒãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,è¨åv,çáåv
Portfolio Investment Assets,,,,,,,,,,,,,,Portfolio Investment Liabilities,,,,,,,,,,,Subtotal,Total
,,,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,ÉlÉbÉg,ÉlÉbÉg
,,,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Net,Net
,,,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,ÅiA-B),(C-D)
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (A),Acquisition,Disposition,Net,Net (C),Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (B),Acquisition,Disposition,Net,Net (D),,
,ÇRåé,Mar,"17,867","17,690",177,"81,077","104,341","-23,264","-23,088","8,434","9,170",-736,"-23,823","227,221","212,350","14,870","119,420","118,249","1,171","16,042","31,592","30,968",624,"16,666","-39,129","-40,489"
,ÇSåé,Apr,"16,762","12,629","4,133","98,227","86,719","11,508","15,641","7,593","9,696","-2,103","13,538","206,802","203,381","3,421","84,929","83,604","1,325","4,746","33,811","28,607","5,203","9,949","10,895","3,588"
,ÇTåé,May,"17,561","14,383","3,178","78,246","66,490","11,757","14,935","6,851","7,572",-721,"14,214","235,844","240,883","-5,039","96,616","70,390","26,226","21,187","60,948","37,381","23,567","44,754","-6,253","-30,540"
,ÇUåé,Jun,"12,683","12,129",554,"71,172","63,752","7,420","7,974","7,529","9,434","-1,905","6,069","239,243","241,019","-1,776","93,205","90,436","2,769",993,"60,767","50,395","10,373","11,365","6,981","-5,296"
,ÇVåé,Jul,"10,290","10,195",95,"70,643","63,156","7,487","7,582","9,620","7,508","2,112","9,694","191,916","189,643","2,273","61,814","73,150","-11,336","-9,063","39,216","38,338",878,"-8,185","16,645","17,879"
,ÇWåé,Aug,"13,190","10,910","2,280","118,694","95,785","22,908","25,188","8,025","8,764",-739,"24,449","205,854","198,637","7,217","79,639","74,620","5,019","12,236","51,128","47,168","3,960","16,196","12,951","8,253"
,ÇXåé,Sep,"12,025","11,757",268,"95,738","102,963","-7,225","-6,957","7,843","8,013",-170,"-7,127","200,290","193,790","6,500","83,348","79,493","3,855","10,355","24,285","36,087","-11,802","-1,448","-17,312","-5,680"
,10åé,Oct,"15,443","15,538",-95,"86,309","65,712","20,597","20,502","8,091","8,981",-891,"19,611","237,653","227,157","10,496","75,775","72,265","3,510","14,006","34,213","42,010","-7,797","6,209","6,496","13,402"
,11åé,Nov,"20,326","18,497","1,829","79,734","70,879","8,854","10,683","7,056","8,339","-1,284","9,399","229,768","223,495","6,273","93,914","76,005","17,909","24,182","52,913","38,842","14,072","38,254","-13,499","-28,855"
,12åé,Dec,"15,754","13,994","1,760","79,868","78,458","1,410","3,170","7,985","10,070","-2,085","1,085","209,439","192,665","16,774","80,806","73,482","7,324","24,098","30,012","33,717","-3,706","20,392","-20,928","-19,307"
